,title,label
0,美捐赠疫苗250万剂 江启臣：印证台美情谊,1
1,灭绝40年巨獭现身了！保育员吓坏录影：没人会相信我,1
2,大陆经济持续复甦好转中 陆股后市看俏,1
3,不只郭董、刘德音！蔡英文曝政府也要买BNT疫苗,1
4,疫情期间穷到断炊？炒饭店老板霸气助人：拢来我请,1
5,侯友宜火化场送别市民！痛喊「没保护好你们」8万人都哭了,0
6,打疫苗惊见80年前国小同学！2阿公互呛：明天要去把七辣,1
7,九蛙终于喝到水了！日月潭蓄水84% 曾文水库蓄水逾2成,1
8,台积电洽捐疫苗 绿委讚转移国际力量无私保台,1
9,老爸帮剪发！儿子顶碗公头崩溃 狠瞪4连拍超爆笑,1
10,250万剂疫苗援台幕后 台美零时差共同努力,1
11,疫情停工薪水照发！这些明星老板超佛心,1
12,贾永婕勇猛捐物资被盛讚 曝接父亲官校同学来电瓦解落泪,1
13,平镇94岁老翁不顾疫情出门散步 却忘了回家的路,0
14,全国停课中 韩国瑜亲自开车载100台爱心笔电：送偏乡育幼院,1
15,10年来暴增逾18倍 港股科技股市值雄踞各行业榜首,1
16,宋仲基《文森佐》帅翻 自爆自己像崔明熙律师,1
17,75岁老母亲被取消疫苗！　「超暖1句话」喷洋葱…蓝心湄：我没有用,1
18,左脑萎缩急抢救！詹雅雯头发全掉光 痛心求救了,0
19,欧盟取消旅游限制  苏贞昌：国际肯定台湾防疫,1
20,207公分高！巴西女模患巨人症 尪身高只到肚子仍超甜,1
21,心疼贾永婕被抹黑 吴淡如怒：以后谁还敢出来救命！,0
22,买疫苗快就好 黄珊珊：别再为私慾不顾人命,0
23,美为何加码3倍赠疫苗？张惇涵揭幕后关键　蔡英文亲自出手,1
24,在台日人不打新冠疫苗 台大医曝原因 1.1万网狂讚,1
25,台湾需要安定的力量 优人神鼓为第一线防疫人员加油祈福,1
26,侯友宜：染疫市民每人1千、死亡慰问10万,1
27,黄珊珊》台湾致死率全世界第一 太多人枉死,0
28,46岁天后李玟素颜曝光判若两人 网惊：眼睛小一半,0
29,传美捐赠疫苗20日到 苏贞昌：很快就有好消息,1
30,雪碧示范5套火辣泳装「没奶不要穿」 这一款下水变透明,1
31,日本公司推「胖子出租」！聊天、搬家、陪吃饭都OK,1
32,《打扮的恋爱是有理由的》写给人生的10个心灵金句，「一旦有了重视的东西，失去的时候也会特别难过！」,1
33,正妹外送员半夜接医院订单 霸气「all in现金」买咖啡送暖,1
34,江启臣感谢美国捐疫苗 盼政府做好施打规画,1
35,友达9年前下定决心解决这问题 94％废水回收率胜台积电,1
36,贡寮阿嬷打疫苗隔天还采笋 总统视讯关心相约包粽,1
37,民进党若不懂谦卑 江启臣：回去当反对党好了,0
38,已破500人死亡 蓝委爆料民进党「原本反对」发放慰助金内幕,0
39,批蔡政府遗弃岛上一半人民 陈文茜示警：疫苗到年底还短少2000万剂,0
40,猝死案例频传 高雄长辈接种率急降,0
41,政府授权郭董买疫苗曝玄机？蓝委一件事狠掀蔡政府真面目,0
42,土耳其里拉周线跌幅 恐创2个月最大,0
43,邻长若染疫如何服务里民？地方吁中央重视,0
44,公开3＋11会议记录遭挡 陈思宇痛批：立委现形记,0
45,失业宅在家2个月还确诊！她叹：谁能比我惨,0
46,上海知名台商面包连锁店宜芝多惊传无预警停业,0
47,祕鲁矿工巴士坠山谷 27死12人伤,0
48,总统晤郭台铭刘德音达共识 BNT疫苗原厂制造直送台湾,1
50,赢过长荣、阳明？万海前3季EPS 30元 见到这价位就杀进,1
51,桃园翁想打「一次就好」疫苗 听到可等高端 直呼：宁选AZ,0
52,议员许淑华揪出北农确诊者 轰匡列不到位,0
53,黄暐瀚2天前问「若买BNT的是张忠谋」 网惊：铁口神算,1
54,苹果iOS 又曝诡异Bug！WiFi热点连到这串「神秘文字」iPhone恐失灵,0
55,妇爬抹茶山离奇失踪3个月 寻获遗体「仅剩下半身」,0
56,男友长太丑！妈妈见完面气炸 狠甩她1巴掌,0
57,墨西哥新增3964人染疫 累计确诊247万5705例,0
58,被控违反国安法  壹传媒和苹果日报两名高层应讯,0
59,香港3例接种不良反应 出现严重过敏、面瘫 获赔疫苗保障基金,0
60,中国「618」购物节  即时到货抢占3C市场,1
61,万华阿公超可怜！茶室老板娘曝痛心内幕：他们只想找人说话,0
62,废弃物成路霸 中市环保局强制代清除,0
63,64岁视帝张晨光哭了！直播卖酒被骂爆 心碎画面曝光,0
64,举足轻重！足球巨星C罗记者会上一动作 让可口可乐市值蒸发千亿,0
65,趁价格暴跌 陆购买4个半月来最大一笔美国大豆,0
66,「红色丰田86」台7乙线逆向狂飙 三峡拓海哥雷残骨折,0
67,天降木板！少女被爆头浑身血惨死 朋友目睹崩溃尖叫,0
69,运力吃紧！上海集装箱运价指数1年涨3倍 再创历史新高,1
70,为防陆企得标 南太平洋海底光缆工程停摆,0
71,印度变种超凶悍！AZ疫苗疫只打1剂恐无效 专家曝剩这招,0
73,好心肝诊所打疫苗风波 北市卫生局长请辞认：督导不周,0
75,接种中国国产疫苗仍确诊  学者：突破性感染,0
78,詹雅雯崩溃痛哭！曝医说「不可能会好」双手掩面喊对不起,0
79,不手软！林口某科技公司餐厅没采梅花座 遭重罚1万5,0
80,恸！新手爸意外闷死6月大女儿 崩溃坠楼惨死,0
81,人妻吞100颗药3天后醒来！身旁惊见丈夫、婆婆遗体 遭控杀人大逆转,0
82,医美员工打完疫苗！王浩宇批：北市在干嘛 负责人：4月自费打,0
83,市场担忧缩减购债 美股4大指数早盘齐跌 道指重挫400点,0
84,妻子喘不过气 夫半路拦警车送医救命,0
85,悚！台中救护车赶转院 自撞分隔岛翻车4人伤,0
86,6/28三级警戒可望解封？柯文哲曝：从这活动优先,1
87,快讯／屏东第4死！86岁嬷打完疫苗「当天插管」5天后死亡,0
91,疑借诗反讽习近平 传北京警告美团执行长要低调,0
92,150天完成3亿剂疫苗接种 美联社：拜登面临另一项危机,0
93,欧盟正式公布 取消对台湾非必要旅游的入境限制,1
94,车行食人魔杀保险员！学徒「刨肉香煎」师傅爽嗑 曝口感像培根,1
95,江宏杰突崩溃道歉！直播一半失控：对不起我错了,0
96,楼上邻居走路声太大屡劝不听 乡民女神：蒐证走法律途径,0
97,快讯／第3批莫德纳疫苗要来了 最快明天下午抵桃机,1
98,苗栗一天2死！90岁翁、86岁翁打完疫苗 隔2天送医亡,0
99,台湾疫苗荒 德国之声披露民众赴陆、美接种的原因,0
101,蓝指阻挡采购疫苗 民进党团：断章取义扭曲事实,0
104,见2护理师大吵 正义哥为护花痛骂「妳脱光我也不想看」完了,0
106,人夫搞小三不遮掩 互刺单名上左肩 正宫怒提告结局精彩,0
107,范云反对公开3＋11会议纪录 网再灌爆脸书酸：真棒,0
108,大陆618再创新高 京东累计下单逾人民币3438亿元,1
109,世卫：传播力提高！印度变种「Delta」将成为全球主要病毒株,0
110,柯文哲主张按年龄打疫苗 批中央顺序添困扰,0
111,快讯／万华民众陈尸大楼厕所 破门惊见遗体已经腐烂,0
112,越南妹PO辣照「请哥哥伸援手」 恩客上门见真面目软掉,0
114,Fed暗示提前升息 美元强弹、黄金承压,0
118,正妹卸妆后差太多！猫主子认不出 「吓到炸毛」崩溃逃脱,0
119,妄议、丑化中共中央 鞍钢集团前总工程师张大德被查,0
120,也门北部战略城市争夺战复炽  酿47死,0
121,欧盟取消台湾旅游限制 官方推特晒中华民国国旗,1
122,不甘被分手！现役军人枪杀前女友 父子相拥泣悔冲动,0
123,古特瑞斯续任联合国秘书长 矢言记取疫情教训,0
124,欧盟取消旅行限制 苏贞昌：国际对台湾防疫肯定但勿松懈,0
125,分手一周！醋男惊见垃圾桶有套套 发狠勒毙高校妹,0
127,「中概ESG第一股」爱回收赴美上市 首日收涨近23％,1
129,24K男停业没收入 纾困贷款1关键被打枪：做八大是孤儿,0
