,0
0,总统府否认卡关慈济买疫苗  吁各界勿以讹传讹
1,驳「疫苗乞丐」说  谢长廷：美日无施舍的傲慢
2,网传美赠台疫苗与军购有关 国防部：无稽之谈
3,驻港官员被迫撤离  蔡总统：各位是挺着胸膛回来
4,民进党：安家费、疫苗乞丐等失言  无助外交防疫
5,蔡总统：做总统被批评难免 疫苗乞丐说法不恰当
6,总统不舍打疫苗传猝死 强调接种仍是利大于弊
7,黄世杰指得寸进尺 高嘉瑜发文感谢北市卫生局[影]
8,外交部：印尼驻处新增1人确诊  6月累计11人
9,三级警戒首见单日百病例以下  苏贞昌：出游再等等
10,动保团体：10年死4只 反对顽皮世界进口长颈鹿
11,鸿海：采购疫苗捐赠 确认后董事会追认并发布重讯
12,绿质疑逼台湾打中国疫苗 蓝反批卸责
13,高嘉瑜卷入疫苗风波  民进党团：会了解与调查
14,驻港办人员遭限时返台 江启臣吁政府妥善因应
15,驻港官员被迫撤离 蓝吁透过谈判或第三方斡旋解决
16,国民党民调：7成5不满纾困方案 吁加倍贷款名额
17,内政部：6月暂停征集役男 入营时间拟延到7月
18,蓝批释放台湾不需疫苗印象 绿：政治斗争无助防疫
19,美疫苗抵台  赖清德：萧美琴连作梦都梦到签合约
20,共军1架运8扰台ADIZ 空军兵力应对
21,赠台疫苗 AIT：不会忘记台湾先前对美医疗援助
22,中选会：4项全国性公投案 死亡连署依法告发
23,林飞帆：中共享逼台湾撤回驻馆方式 孤立香港人
24,国民党感谢美方捐赠疫苗 吁让孕妇优先打莫德纳
25,柯建铭：国民党错把谩骂当监督 吁台湾团结愈合
26,江启臣感谢美国捐疫苗 盼政府做好施打规画
27,美捐赠疫苗250万剂  民进党：感谢实际行动助台
28,250万剂疫苗援台幕后 台美零时差共同努力
29,美国赠台疫苗 学者：限缩北京趁疫对台操作空间
30,共军1架运8反潜机扰台 防空飞弹追踪监控
31,美官员：捐台疫苗无条件 中国阻挠采购应受谴责 
32,250剂莫德纳疫苗萧美琴代表接收 华航货机20日傍晚抵台
33,民进党：无视防疫优先 国民党扭曲协商共识
34,苏贞昌视察苗栗电子厂 盼记取群聚感染3教训
35,台积电洽捐疫苗 绿委赞转移国际力量无私保台
36,遭控挡郭台铭买疫苗 东洋发4点声明澄清
37,台积电永龄洽购疫苗捐赠  政院：加速讨论授权形式
38,江启臣批绿挡在野提案 促抛开政治计算快买疫苗
39,欧盟取消旅游限制  苏贞昌：国际肯定台湾防疫
40,解放军舰队群出现东部海域 18日入夜后脱离监控
41,共军1架运8反潜机扰台  空军兵力应对
42,谢长廷东奥接待城送香蕉 内心惦记争取疫苗
43,蓝指阻挡采购疫苗 民进党团：断章取义扭曲事实
44,总统府：台积电主动提出捐赠疫苗计划
45,澳洲参议员史卡演说  推崇已故台湾学者邱垂亮
46,欧盟逐步解封 外交部：出发前先了解目的国规定
47,企业洽购BNT疫苗 苏贞昌责成政委与指挥中心协助
48,纾困4.0追加预算三读  柯建铭盼团结走出疫情
49,疫情司法程序特别条例三读  立委吁精进听取基层意见
50,郭台铭洽谈BNT疫苗  柯建铭：每剂42美元
51,马办提议开放打疫苗小三通 陈时中：无此规划
52,厘清指挥中心疫苗整备及采购  4监委着手调查
53,立委吁卫福部从宽认定接种受害救济
54,政院：评估染疫身亡补贴10万元  24日做出决定
55,政院：政府全力协助 但郭台铭获BNT回信「只卖给政府」
56,民进党：外购疫苗受派系影响是造谣  江启臣勿误导
57,香港苹果日报高层被捕  国民党：港府限缩言论自由
58,安倍说提供疫苗理所当然 外交部：台日永结同心
59,何欣纯吁助火车站商家纾困  台铁拟下周公布方案
60,郭台铭盼尽快见蔡总统 保证合约不会有中国台湾
61,郭台铭指买疫苗绿派系有意见 江启臣：总统应说明
62,陈时中：接种AZ疫苗后的死亡率与他国相当 未出现危险讯号
63,香港苹果日报如常出版 高层：大家要顶住
64,纾困4.0朝野协商共识 促政府提供染疫死亡者丧葬费
65,忧日本供台湾疫苗生变  谢长廷：战战兢兢
66,经济部研议取消夏月电价 若实施将回溯从6月开始
67,马英九吁政府勿封杀民团买疫苗 绿：挑拨对立
68,立委要求孕妇可先打莫德纳 陈时中：很快会开放
69,中国核电厂传气体外泄  苏贞昌要求原能会等紧盯
70,旱涝交替酿高接梨果裂 立委吁农委会研议补助
71,助郭台铭买疫苗 陈时中：公私协力但很困难
72,立委挺警消医护  赠防疫物资与茶点
73,立院协商共识 要求政院成立3+11决策调查小组
74,内政部：6年完成264项道路建设 下期再编420亿
75,依法执行职务挨告  黄荣村：涉讼辅助机制作后盾
76,学者：欧洲转向抗中 北京恐暂避锋芒
77,香港苹果日报高层被捕  立委：印证中国政府邪恶
78,声援香港苹果 民进党：中共扼杀民主破坏国际秩序
79,驻印度公使陈牧民染疫康复 撰文揭如鬼门关走一遭
80,苏贞昌：近日疫情缓坡下降  但无松懈本钱
81,科技执法 苏贞昌：废弃物清理机具明年全面装GPS
82,布拉格市长吁捷克政府援助台湾疫苗 柯文哲致谢
83,陈时中为疫苗采购进货慢致歉  否认护航国产疫苗
84,江启臣赴医院送口罩  吁国产疫苗应做三期试验
85,美驻联大使批中国拿疫苗施压他国 外交部感谢揭真相
86,台美签署HIMARS及鱼叉飞弹军购案  提升不对称战力
87,世界难民日将至 民团吁尽速提案通过难民法
88,国民党民调：52%民众支持普发现金一万元
89,美参众议员重提台湾防卫法 外交部：感谢友台作为
90,长者打疫苗死亡？陈时中：利大于弊建议施打
91,纾困4.0协商  柯建铭吁朝野理性面对勿横生枝节
92,纽时：台湾盼取得BNT疫苗 中国恐从中作梗
93,支援医护引纷争 蔡总统挺贾永婕留言相互打气
94,中钢台船汉翔争取员工打疫苗 府：陈情转政院研拟
95,共军1架运8扰台ADIZ 空军兵力应对
96,江启臣指强迫工业区打国产疫苗 经部澄清绝无要求
97,G7声明提台海和平稳定 蓝绿各自解读互批
98,日防卫白皮书草案提台湾 学者：日美协防台海有共识
99,纾困4.0 游锡堃明召集协商18日拚三读
100,驻印尼代表处累计10人确诊 全员6/17快筛检测
101,疫苗施打 蔡英文肯定民进党执政县市表现
102,是否放宽小摊商等业者纾困条件  政院：检视中
