,0
0,总统晤郭台铭刘德音达共识 BNT疫苗原厂制造直送台湾
1,准亚太助卿重视美台关系 外交部：展现挺台立场
2,美强化半导体供应链 专家倡美台密切合作
3,感恩花篮湧入 AIT：永远记得台湾人民这份心意
4,北意大利解封 驻义代表赴威内托与侨胞庆端午
5,纾困更到位  民进党团要求国有租金减免延长一年
6,台与索马利兰签医疗合作协定 将派团常驻索国
7,美台TIFA重启会谈 郦英杰：将深化供应链合作
8,开放居家筛检 陈时中允诺调降试剂医材风险等级
9,端午连假防疫不松懈 国家公园景点山屋关闭
10,高端将于巴拉圭展开临床试验 外交部乐观其成
11,孩童家庭防疫补贴线上申请  苏贞昌：18日后入帐
12,陆军33化学兵群接种疫苗 确保防疫安全
13,谢志伟：德BioNTech原厂疫苗供台意愿高
14,国军获4.5万剂AZ疫苗 接种小组赴高山为官兵施打
15,G7公报首纳台海 府：对自由开放印太地区至为关键
16,国发会：纾困4.0已发574.3亿 368万人次受惠
17,蔡总统感谢企业民间捐赠设备 提升医疗能量
18,疫情司法程序特别条例三读通过 司法院：困境现曙光
19,华尔街日报：美台贸易高层最快10日恢复对话
20,陈时中：国内确诊数趋稳 死亡个案仍有一周高峰
21,驻教廷大使馆端午餐会 神父修女为台湾疫情祈祷
22,AIT：荣幸将台湾视为全球卫生安全夥伴
23,德国解除对台入境限制 6/20生效
24,劳团建议提高纾困贷款额度 江启臣承诺协助争取
25,铨叙部：会同人事总处整合系统 提升铨审效率
26,苏贞昌：孩童家庭防疫补贴  25.8万人已入帐
27,新北小英之友会募得688万 补助医护安心外宿
28,欧美峰会重视台海稳定 蔡总统推文感谢
29,疫情严峻国军战备不松懈  陆军演练夜射105榴弹砲
30,日首相G7挺台 外交部：感谢并持续深化台日合作
31,外交部：台湾是美国紧密夥伴 持续强化自卫能力
32,国军施打疫苗顺序 国防部：依中央政策办理
33,欧美峰会重视台海稳定 外交部：感谢并深化夥伴关系
34,美国康州参众议会通过友台共同决议
35,高端疫苗解盲 陈时中：安全性被认可制程合格稳定
36,总统：孩童防疫补助15日线上请领18日ATM申领
37,感谢美国捐赠疫苗 高市回赠高雄AIT玉荷包
38,立院本周处理纾困预算案 拚18日三读仍有变量
39,郦英杰获颁中山大学名誉博士 表彰深化台美关系
40,110年高考一、二级考试10/2举行 需用名额58人
41,外交部：感谢日国会友台决议 续与理念相近国家合作
42,户籍证明文件到期 三级警戒解除后30天内仍有效
43,受助叙利亚难民关心台湾疫情 拍影片祝福感谢
44,台美贸易协定 外交部：共同努力推动重启会谈
45,确保正副元首健康安全 近身随扈完成施打疫苗
