,0
0,被北市卫生局长批「得寸进尺」 高嘉瑜这样回应
1,感谢美供台疫苗 柯文哲：当你小弟给安家费是应该的
2,拒签「一中承诺书」 我驻港办7人回台
3,民众党「感谢市长没放弃万华」引骂 网讽：原来可以放弃？
4,台美沟通2周 美赠莫德纳加码到250万剂
5,美供台250剂莫德纳 柯文哲感谢又批：不足还是现实
6,吁中央依年龄定疫苗分配 柯：顺序含糊引发特权争议
7,称台目前仅485万剂疫苗 国民党：蔡政府不要自满
8,鸿海.台积电洽购BNT疫苗 立委曝内幕
9,柯喊部分解封 侯友宜:新北无重开条件
10,纾困贷款没申请到？苏贞昌回应了
11,好心肝风暴爆立委关说要疫苗?! 柯P：是高嘉瑜
12,总统会郭台铭.刘德音 争取BNT直送台湾
13,6/28降级解封？柯文哲松口：美术馆、电影院可能先开放
14,跟进郭台铭、台积电自购疫苗？柯文哲：有人问我要不要买
15,北市4长者打疫苗后猝死影响接种？北市府：不敢说没影响
16,郭台铭争取购买BNT疫苗 柯建铭曝每剂单价「42美元」
17,蔡英文下午4时会见刘德音、郭台铭 商讨疫苗授权购买事宜
18,郭台铭盼会见蔡英文 总统府火速回应了
19,"喊防疫""调整队形"" 政院:无关人事异动"
20,驳护航国产疫苗 陈时中为进货慢致歉
21,「政府终于不演了」 柯酸工业区调查国产疫苗施打意愿
22,假帐号冒充基进员工批评贾永婕 台湾基进：已报警处理
23,采购国外疫苗进度惹民怨 陈时中致歉
24,纾困4.0预算拚三读 立院马拉松式协商
25,爱国同心会会长病逝、多人确诊 王浩宇叹：快灭团了
26,郭台铭证实「卫福部将协助」 绿委：扯卡疫苗的来道歉
27,「全国陪双北坐牢」挨轰 苗博雅道歉：是否不该这么直白？
28,7成5不满防疫表现 柯:人在做天在看
