,0
0,武统要来了？中共学者突喊「12周打烂台湾」亲曝下一步
1,疫苗施打顺序「中央说的算」 陈时中说重话：地方违规就减配
2,全台385人染疫病逝 蔡英文道歉：台湾不会被病毒打败
3,28架共机扰台破纪录 空军紧急广播驱离
4,不只郭董、刘德音！蔡英文曝政府也要买BNT疫苗
5,假讯息鼓吹长辈别打疫苗 总统出面驳斥
6,直球对决蔡英文 郭台铭公开合约「向上海买BNT 德国出货」
7,侯友宜火化场送别市民！痛喊「没保护好你们」8万人都哭了
8,蓝委疑有钱人抢打疫苗 陈时中罕见动怒驳斥
9,疫苗早送提前打？ 北市：节奏全打乱 新北：早点讲更好
10,好心肝诊所私打疫苗 陈时中怒：严查严办
11,采购疫苗预算有他用？ 蓝委怒呛周志浩他X的
12,开放邻长打疫苗 卢秀燕二度鞠躬：我的决策负完全责任
13,女战神再战陈时中 高虹安呛国产疫苗是国王的新衣
14,纾困4.0立院初审通过 这130案遭保留待协商
15,好心肝诊所打疫苗风波 北市卫生局长请辞认：督导不周
16,吁民进党主动打高端 连胜文：用生命实践台湾价值
17,蔡英文授权郭台铭、台积电买疫苗 要求：原厂制造直送台湾
18,南投县宣布准备好6.4亿元 要买80万剂辉瑞疫苗
19,行政院顾问丁怡铭打公费疫苗 国民党：特权？
20,北市6诊所获逾2千人份疫苗 柯文哲认流出太轻易
21,「陈时中信任别人很难吗？」 黄珊珊呛中央：疫苗数量当秘密
22,疫情扩散关键？ 侯友宜：「系统塞车」加速病毒扩散
23,医美员工打完疫苗！王浩宇批：北市在干嘛 负责人：4月自费打
24,端午节8.5万张车票还没退 蔡英文拜讬大家「留在原地别移动」
25,立院通过！民众党提案「政院官员都打国产疫苗」 柯文哲回应了
26,彭文正称蔡英文已打辉瑞疫苗 总统府：谣言
27,蓝批买不到疫苗 苏贞昌比喻：鸡腿买不到会怪自己吗？
28,陈培哲称国产疫苗压力来自蔡总统 总统府：遗憾
29,800万劳工领呒纾困金！绿委霸气提一方案被讚爆
30,林益世被控贪污收贿6300万元 更审轻判4年10月
31,石崇良喊「疫情破口在万华」黄珊珊气炸：比病毒还毒
32,绿学院民调：八成民众支持离岸风电扶植台湾队　立委吁尽速成立专责中心
33,传蔡英文已接种BNT疫苗 陈时中：讲这话是过分的
34,机组检疫变7+7有会议记录？柯：若打完2剂反而有问题
35,民间行善反遭攻击？赵少康：网军会毁了台湾
36,中央对郭董「开绿灯」？蓝轰：搞得像给恩惠太荒谬
37,卫福部称「万华是破口」黄珊珊怒：大家都忘了3+11？
38,陈时中立院打瞌睡 立委心疼要民众「别当巨婴」
39,柯文哲核弹级爆料！点名高嘉瑜「帮乔疫苗」网吓：阿伯太狠了
40,柯P称美捐75万剂「支票」讚日较阿莎力
41,高雄AZ疫苗获配量全国第2 绿委林淑芬替新北抱不平
42,医美诊所打完疫苗遭砲轰 负责人丢出纪录打脸王浩宇
43,移工外出禁令惹议 徐耀昌震怒：确诊命都没了哪来人权
44,禾馨医为疫苗系统怒轰柯P「听你在放屁」 北市府回应了
