,0
0,柯文哲称医护观望AZ　简舒培爆：北市诊所医生跑到新北打
1,陈椒华痛批特权疫苗连环爆　自家议员早在5月底就打完
2,快讯／5.8万剂疫苗不够打　柯文哲：长者只有85岁以上打得到
3,快讯／广筛奏效！　侯友宜：新北48个高风险区降为中风险
4,快讯／柯文哲坦言：北市4万人没打是事实　再轰疫苗不够
5,3+11为疫情爆发源头？　柯文哲：变种病毒绝对不会从太空掉下来
6,高端疫苗二期解盲成功　王浩宇喊话：大家不放心「我可以带头打」
7,江启臣：国产疫苗应比照国际做三期试验　「我愿做受试者」
8,王鸿薇「感谢台积电出手」　护国神山果然份量不同
9,台湾成「疫情扭曲」的环境　他揭蔡英文10点「政治算计」
10,贾永婕捐HFNC却挨骂　柯文哲「别太在意」：我也常常被网军K
11,越南买1.5亿剂疫苗？　谢佩芬拿2篇外媒报导打脸罗智强
12,高端解盲！政府力挺临床试验计画曝光　4家厂商二阶可拿3亿
13,AZ延迟争议！蔡英文疑遭泰国打脸　他预测3种结果
14,黄光芹捐医护171台冷气遭检举心寒：卫福部凭什么滥权查我水表？
15,影／2角度评长者打疫苗「利大于弊」！ 医看防疫下半场：进步算快
16,王浩宇指控：违规机师「在台北自主管理」　3+11当然是假议题
17,LIVE／北市增62例！批高雄「疫苗内线交易」　柯文哲最新回应
18,柯文哲批长者抢打疫苗「习惯不改」　许家蓓呛：未先规划怪民众？
19,75岁长者恐掀疫苗抢打潮　柯文哲「丑话在前」：打到的机会一半以下
20,确诊下降！柯文哲分析「2原因」　竟跟端午节有关
21,快讯／全台13人打疫苗猝死　柯文哲建议：不管年纪多大，都要打
22,北市6诊所拿202瓶疫苗　黄郁芬提3质疑：为什么是这几间获得？
23,快讯／陈时中曝AZ找台代工3亿剂　柯文哲：这种话我不想再听了啦
24,快讯／新北市场已开325张违规单！侯友宜点名「树林这市场」应立即改善
25,沈富雄点名1450「识相点」　修理陈培哲对蔡英文伤害很大
26,柯P快来上课！疫苗内线交易真相曝　她用「数学题」算出最快答案
27,9.1万剂疫苗到货！高雄下午就开打　他酸柯P「看好了只示范一次」
28,快讯／壹电视2员工确诊　摄影记者、 SNG人员PCR转阳性
29,先给国人打！王世坚称「政治人物最没资格打疫苗」：我最后一个打
30,15人确诊！传「抽换匡列名单」　北农否认：都是照同心圆匡列筛检
31,台北慈济医院1清洁工确诊　院方紧急为接触者采检出炉
