,0
0,快去缴税！财政部宣布：报税到6月底不延长、15日开放临柜申报
1,中央明配发5万4698剂疫苗　北市可望开放80岁以上长者接种
2,新北获配8.3万剂AZ！首波开放85岁以上长者　6／15施打地点总整理
3,快讯／8月底1000万剂疫苗到位　苏贞昌：准备大规模施打！
4,全台打完117万剂疫苗！中央及地方政府防疫人员　10.3万人已接种
5,快讯／郭台铭买疫苗获专案进口许可函　侯友宜：很好！政府要积极协助
6,220亿孩童防疫补助15日开放申请　简单4步骤直接入帐
7,跟张志豪有约定　邱辰再投入中职选秀拚左投右打野手第一人
8,快讯／侯友宜盼中央与民间合作买疫苗　拚九月达到六成群体免疫
9,快讯／2600亿纾困预算三读　卫福部拿792亿拚买疫苗、助国产
10,LIVE／全台最多！新北今增162例本土　侯友宜最新说明
11,快讯／北市7周内超过4千人染疫　各区确诊分部出炉「有2区＋0」
12,快讯／北市疫苗到货5.8万剂！13日开放预约　85岁长者、长照机构优先
13,快讯／好消息！北市快筛阳性率降到2.1％　柯文哲宣布：已过了防疫压力高峰期
14,快讯／高端二期解盲成功拚7月上市　卫福部回应了
15,北市疫苗预约系统完整　黄珊珊：会针对75岁以上长者做修正
16,日参院全体起立挺台参与WHA　谢长廷：历史上第一次！甚为可贵
17,快讯／孕妇先打莫德纳？　陈时中松口：很快就会开放！
18,快讯／北市推「你上工 我加薪」　全职劳工就业满3个月就给2万
19,快讯／侯友宜公布新北确诊者「发病日」趋势　这5区都在万华周遭
20,快讯／628有望解封？　蔡英文：疫情控制到一定程度了
21,快讯／蔡英文下午4时接见郭台铭、台积电董座刘德音
22,被放无薪假不怕！　正妹网红曝「疫情期间赚外快」5招…每月多2万
