,0
0,拿芯片换疫苗成火热议题 谢金河曝关键：台积电出手有威力
1,华航载美疫苗抵台 中国网发现「机身秘密」又气炸：台独货机！
2,罗智强「乞丐疫苗」说挨轰 王定宇google惊呼：说蒋介石是乞丐？
3,慈济捐500万剂BNT疫苗遭卡？ 总统府：勿以讹传讹
4,谴责中共打压我驻处 民进党：关怀港人决心不变
5,禾馨公布对话自清 张博洋：北市快打计划变「拜托你快点打一打」
6,捐防护面罩竟是中国制  陈亭妃认了：从没想过要隐瞒！
7,北农爆群聚感染 林静仪轰：台北市卫生局疫调不实会害惨全台湾
8,加国学者质疑美国不该赠台疫苗！国外网友替台湾说话战翻
9,美援250万剂疫苗靠军购换？ 国防部发声明回应了
10,南检检察长纳第1线打疫苗被质疑掀波 基层检察官：与升迁有关
11,北农员工轰「拿人命换营运」 柯文哲冷回：总经理是中央派的
12,一剂护两人！林智坚曝光疫苗施打现场照 网惊艳：是在拍电影吧！
13,被骂翻不道歉！罗智强再呛：这不是乞丐「什么是乞丐」？
14,禾馨拿证据呛北市府不清楚交代 四叉猫：柯文哲这局输惹
15,驻港人员拒签一中承诺书 总统府：现在不会、未来也不可能签
16,先赞美国又酸「当你小弟」 康裕成感到可耻：替柯文哲道歉
17,我驻港官员被迫返台 国民党：北京和蔡英文都丢脸
18,靠军购换美援250万剂疫苗？ 王定宇提3件事实怒轰蓝营造谣
19,中共百年党庆将届 邱太三：国内政党不应参加高度统战活动
20,驳「安家费」、「乞丐说」 民进党：不当言论无助防疫与外交
21,蓝营批「疫苗乞丐」 谢长廷引「美日说法」开砲：羞辱善意
22,柯文哲称美国「给小弟安家费」 郑运鹏狠酸：难怪中国这么优待你
23,「一中承诺书」曝光！ 邱太三还原港府无理打压过程
24,民众党：反对政府以未经国际认可审查方式 让国产疫苗仓促上路
25,代表会提案「现金纾困」普发1万 竹北市长：恐严重排挤其他建设
26,中国持续打压台湾 邱太三︰北京应思考「以德服人」
27,印尼代表处累计11人确诊 延长居家办公至7/2
28,蓝营轰中央「疫苗乞丐」 她列举3功劳开酸：真的感谢国民党
29,士林护理之家没普筛酿群聚挨批 柯文哲坦承：PCR还是比较准
30,第2波疫情更凶猛 蔡英文：告一段落要好好检讨
31,美援台250万剂疫苗 柯文哲：当你小弟给点安家费也应该
32,谈国产疫苗 蔡英文：这是科学问题、不是政治问题
33,蔡英文直批「疫苗乞丐说」 不恰当 台美日是互助好友关系
34,驻港办事处正式人员仅剩1人 邱太三：还未考虑撤馆
35,议员要求对疫苗配发道歉 柯文哲反呛：管到每瓶我就变总股长了
36,卷禾馨疫苗风波遭北市卫生局长抨击  高嘉瑜发文回击了
37,三级警戒后单日确诊首见2位数 苏贞昌：没有松懈本钱
38,郁慕明已打中国疫苗！中媒大肆宣扬 再列施打疫苗台湾艺人名单
39,疫苗「乞丐说」正在蓝营蔓延  她拿美日分析报导狠打脸
40,我驻港官员被迫返台  江启臣批：将让两岸没有互信
41,美国捐台湾疫苗  中：不要政治操弄干涉中国内政
42,呛禾馨「得寸进尺」！黄世杰：高嘉瑜一开始讲只「打医护」
43,我驻港官员被迫返台 邱太三：中共是背后「影武者」
44,批北农群聚案甩锅 林右昌：柯文哲说谎 至今根本未找过基市府
45,卫生局坦言小禾馨没名单就拿疫苗 议员轰柯市府︰整个螺丝松掉
46,痛批柯文哲将北农群聚甩锅基隆  林右昌：我很不爽！
47,柯P脸书民众党留言「感谢没放弃万华」 网傻眼：讲什么鬼？
48,遭指干涉疫苗采购 吴秉叡再提告
49,武肺疫情全国已逾500死 北市议会全体默哀1分钟
50,纾困4.0提案论战 国民党轰民进党「悲哀」只会推责任
51,蓝营讽台湾是疫苗乞丐 绿委反问：连战等人打乞丐疫苗？
52,蓝营酸台「疫苗乞丐」 陈子瑜：很可能有「中国老大哥」的压力
53,罗智强称美捐250万剂疫苗是郭董功劳 江启臣：罗是强调蔡政府疫苗政策错误
54,国民党民调：7成5不满纾困方案 劳工纾困贷款名额应加倍
55,北农群聚感染45人 北北基议员联合声明：建请中央进驻
56,高嘉瑜被爆乔疫苗 民进党团：不认同这样的行为
57,蓝提案「限时限量绑规格」 绿质疑逼台湾打中国疫苗
58,北农、长照群聚连环爆 林颖孟：吁请王必胜到北市根绝疫情
59,武汉肺炎爆发前...移民署挡中国党政军3378人来台
60,驻港官员拒签「一中承诺书」返台 民团吁检讨港资来台规范
61,港府逼签「一中承诺书」 国民党：三方斡旋解决
62,救总6千万现金收归国有 党产会收回最大笔不当党产
63,北农快筛阴性员工打疫苗 林静仪：接种完14天仍要匡列隔离
64,索马利兰旱灾饥荒 台湾驰援560吨食米共度困境
65,罗智强酸台湾沦「疫苗乞丐」 前外交官：公开羞辱台美日
66,北农群聚确诊45例 许淑华：北市府4点明显缺失
67,蓝批绿：释放不需要疫苗错误印象 民进党：斗争无助防疫
68,驻港办剩一人 我调整业务方式
69,避中国干扰 台美极机密运作疫苗抵台
70,拒签一中承诺书 我驻港办7人返台
71,党输了！美国250万剂疫苗抵台 中国网民狂骂国台办：丢人现眼
72,陈文茜称泰总理谦虚胜蔡英文 曼谷网友曝实况：实在笑不出来
73,美250万剂疫苗抵台！ 郑文灿：感谢美国真朋友
74,罗智强批美疫苗是乞讨来的 称真功臣是郭台铭遭酸爆
75,蓝营称「疫苗乞丐」 黄国昌怒：台湾人也没说国民党「乞丐政权」
76,挨柯建铭批「百年最走钟」 费鸿泰两千字文回击
77,罗智强批蔡政府疫苗乞丐 吴佩蓉：韩国瑜受罗赞助广告算什么？
78,梗图羞辱陈时中「疫苗乞丐」！张博洋怒呛做图的会下地狱
79,感谢美国提供疫苗 蔡英文也提醒民众小心不实言论
80,蓝营不满纾困提案遭封杀 王定宇反呛：荒谬幼稚
81,美国送的疫苗来了！ 国民党团怒轰政府买不够应抢买
82,我驻港7官员今被迫返台 国台办呛：与港交往须「一中原则」
83,美援疫苗顺利抵台 赖清德曝：萧美琴连做梦都在想这件事
84,萧美琴曝疫苗来台背后艰辛 谢长廷感同身受：可以体会
85,驻港7官员返台 国台办呛民进党：停止插手香港否则严惩
86,美国援台250万剂莫德纳疫苗来了！ 日媒分析美方目的
87,港府逼签「一中承诺书」 陆委会批无理政治打压 台驻港办7人返台
88,拒签「一中承诺书」 驻港7官员下午返台 陆委会：忍辱负重不受威逼
89,美援250万剂莫德纳疫苗 苏紫云：人道承诺、对抗疫苗统战
90,美赠台250万剂疫苗！柯P撂英文感谢 再喊：疫苗不足仍是事实
91,疫苗有系统开打 蔡英文喊话︰相信专业和指引 病毒才是真正敌人
92,美赠250万剂莫德纳抵台 AIT：展现美国对台承诺
93,目前可运用疫苗不到500万剂 国民党团：蔡政府不必大内宣
94,林飞帆：中共逼台湾撤回驻馆 孤立香港人
95,美250万疫苗援台！绿PO文赞友好 反观蓝营「被打脸」静悄悄？
96,美援台疫苗今抵台 台湾基进：不知柯文哲还有什么干话可说
97,要求公开3+11决策等提案全被否决 江启臣：挡掉人民活命机会
98,美援台莫德纳疫苗还未落地 国民党急喊：全台孕妇优先打
99,两大企业获授权买疫苗 台南前议员：台积电参赛碎蓝营梦
100,屏东连13天+0 潘孟安：坚强盟友相挺 更有力量拚防疫
101,接运文革「逃港难胞」来台  党产会：救总报请KMT蒋介石同意
102,美赠250万剂疫苗蓝营首长噤声？ 许智杰：党中央有感谢
103,台驻港办7人拒签「一中承诺书」今午返台 陆委会轰无理政治打压
104,百年一见走钟演出！柯建铭批蓝营在同温层内关门自High
105,美援台250万剂莫德纳 蓝委感谢外不忘酸：友邦送的比自己买的多
106,赞台湾政府默默努力  王丹：若是国民党执政早就引进中国疫苗
107,美国赠台湾250万剂疫苗 蓝绿地方首长反应两极
108,美国务院公开援台疫苗资讯 王定宇：代表美国无视中国压力
109,美援疫苗交货秘辛曝光！ 萧美琴「最美的背影」感动网友
110,北市之乱// 柯爆乔疫苗 高嘉瑜：没施压
111,好心肝之乱惩处 议员轰柯文哲甩锅
112,不当配发疫苗惩处仅到局长 议员痛批：市长柯文哲不用负责？
113,韩网友贴出「最讨厌中国TOP10」 台湾网友傻眼：还要努力
