,0
0,快讯／三级警戒新低！新北今增81确诊　一张图看各区分布
1,新北跟进？卢秀燕让1.3万邻长打疫苗　侯友宜回应了
2,菲律宾否认要我国产疫苗　总统府亲揭真相：有心人士混淆
3,疫情未歇三级警戒延长　蓝委林为洲：提案广设快筛站
4,称「全国一起陪双北坐牢」挨轰　苗博雅：本意被断章取义
5,台湾死亡率高于全球　韩国瑜喊话「快买疫苗」：人民想活命
6,快讯／新北连3天确诊两位数　侯友宜：将采「冷、热」防堵
7,假释不到10天…张荣味特权打疫苗？云县有35％医护没打
8,爆施压乔疫苗？高嘉瑜还原禾馨疫苗取得过程：连压都没压
9,石崇良称万华是破口　高虹安谈基因定序：无法接受甩锅万华
10,高端疫苗解盲成功！他爆「最大危机」：70%民众不愿施打
11,张荣味爆抢先打疫苗！「云林女婿」律师狠酸：云林地方特色
12,谁说谎？西园医院因疫苗来不及送取消接种　北市：绝无此事
13,踹共！国民党副县长带头散播假讯息　民进党怒斥：公开道歉
14,史上最严！国防部下令：端午连假官兵禁止跨区休假
15,郑运鹏：可以疫调就有机会清0，台北市的做法正确！
16,苗博雅称全国陪双北在坐牢　徐巧芯气炸：说好的同岛一命？
17,快讯／北市疫苗打不完？柯文哲揭数字：中央有寄放800瓶
18,逾20起猝死　陈时中：打疫苗仍是避免重症、死亡的方式
19,确保正副元首健康安全！近身随扈完成疫苗接种
20,北市疫苗施打一团乱？他喊话柯文哲：应效法徐耀昌、林姿妙
21,各县市施打疫苗年龄没有同步　柯文哲酸：「这实在是奇蹟」
22,蓝营要疫苗接种顺序纳青壮族　民进党批：消费年轻人酿对立
23,要石崇良认失言！柯文哲：除非想被我病历砸第2次
24,好心肝诊所被抓包！医师公会怒轰：北市5千医护没打到疫苗
25,感谢郭台铭全力以赴　蔡英文：疫苗进口充满国际政治的角力
26,黄伟哲贴身摄影师胞弟确诊！通知哥居家隔离　筛检结果出炉
27,基隆6成确诊「与双北有关」　林右昌再出招斩断感染源
28,柯文哲放话：就算没疫苗，再给我1个月时间「北市可清零」
29,民主人士挺台湾却遭嘲讽　王定宇怒：国民党丢脸丢到国际
30,AZ疫苗爆酿血栓…孕妇可改打莫德纳？　陈时中：研议中
31,全台361人染疫死！立委揭「背后元凶」：将提案政府赔偿
32,北市+49！揭「社区」感染情况　柯文哲下一步战术曝光
33,快讯／新北确诊降至2位数！侯友宜忧：隐形确诊超过好几倍
34,好心肝诊所打千疫苗　黄国昌呛爆：人谋不臧？北市府给交代
35,快讯／泰国否认「挡AZ疫苗出口」外交部最新回应
36,G7峰会公报首提台海 　罗致政：已注意中国是和平挑战者
37,2600亿纾困4.0预算过关　苏贞昌：600万人已领钱
38,28共机「群聚」扰台！王婉谕点这事：谁背地扯后腿很明显
39,快讯／专家吁「降2.5级警戒」　侯友宜叹：恐造成第二波
40,高规格防疫！内政部喷涂日本奈米抗菌薄膜：抑制病毒附着
41,台积电出手「挡郭台铭抢功」？苏贞昌：用不着生出甚么文章
42,怒槓陈时中！黄珊珊呛「必遭天谴」　她惊：要干掉柯文哲？
43,糗！民众党哭喊丁怡铭特权打疫苗　北市「学姊」遭爆也打了
44,快讯／「中央级」民代要求给疫苗？柯文哲自爆：是高嘉瑜
45,台积电自动自发捐疫苗！行政院证实：500万剂无附加条件
46,美印太事务协调官：寻求一致行动确保台海和平
47,执行36天！北市府宣布：万华剥皮寮快筛站「功成身退」
48,马英九喊话疫苗小三通、国产疫苗走完三期！阿中：无此规划
49,新北市场吞325稽查单！侯友宜点「这处」：做不到就停业
50,全文／8月底1千万疫苗到位　苏贞昌：政府已规划大量施打
51,称北投没专责医院！柯反问「她是选区议员吗？」黄郁芬回应
52,快讯／长者疫苗施打率98％！柯文哲：名嘴低估北市民素质
53,端午节禁搞促销引民众买爆！新北警告：卖场酿群聚罚30万
54,628解封有望？新北确诊创新低　侯友宜叹：我特别烦恼
55,郭台铭买BNT疫苗单价曝光！　柯建铭爆每剂「42美元」
56,6诊所拿202瓶疫苗！医怒问柯文哲：电脑选的还是你决定
57,振兴医院帮连战打疫苗是否开罚？黄珊珊：需查证施打时间
58,6／28有望解封？侯友宜叹「完全无法」：一疏忽就会飙升
59,美日送疫苗支援　黄智贤酸：台湾搞到跟乞丐一样
60,垦丁、阳明山等国家公园景点均已关闭　徐国勇：连假勿出门
61,新北三级警戒满月！侯友宜叹「仍在高峰」：拜讬市民1件事
62,哥哥张荣味施打疫苗　张丽善：降低防疫指挥官风险
63,黄珊珊未接陈时中来电「应该是很晚了，我已经睡着了」
64,疫苗预约平台「这次来不及」？唐凤反击柯文哲：与事实不符
65,蓝营提染疫死亡国赔280万　柯P打枪：不要为起鬨而起鬨
66,快讯／扯蔡英文已打辉瑞？总统府火速打脸：不折不扣的谣言
67,国民党要求普发1万元　行政院：政府没有足够的预算及规划
68,柯文哲嫌「每人发1万」太多？蓝委傻眼：台北市要发少一点
69,居家快筛能普及？陈时中呛：国内厂商没使用方式怎么卖
70,蓝坚持提普发1万！费鸿泰：我不会去领，家人领我就退政坛
71,中国广东核电厂传辐射外洩　苏贞昌指示原能会、农委会紧盯
72,再爆10阳性！内湖电视台摄影确诊猝死　国军急奔现场消毒
73,柯P考虑解封这些地方　侯友宜曝新北条件：628前不可能
74,避重就轻？张荣味享特权打疫苗？陈宗彦：务必依顺序接种
75,莫德纳疫苗今开打　苏贞昌：给专责医院第一线医护人员施打
76,快讯／精准疫调来抓潜藏感染者！柯文哲：不再做社区普筛
77,抖！侯友宜要蔡英文「约束底下的人」　绿委：像黑道喊话
78,蓝营提染疫死亡国赔280万　王定宇轰：拿人命搞政治斗争
79,不甩中国！菅义伟公开力挺台湾参与WHA　外交部回应了
80,民众党调查／北北桃防疫表现　满意度最高的非柯P是「他」
81,纾困涵盖率不足！国民党民调：52%支持普发1万元现金
82,立委忧国产疫苗没人要打　陈时中：很大比例民众有信心
83,全台333死！侯友宜恸喊「很多市民走了」：疫苗赶快进来
84,柯文哲认「抢疫苗是人性」　林昶佐吐实：被腐化无能搞烂了
85,快讯／北市疫苗接种动线太差　柯：放心好了，会再检查一遍
86,快讯／解隔离新措施！侯友宜宣布：即起「一律加采PCR」
87,坦承打疫苗！议员邱世文三鞠躬道歉：一时失察非常愧疚
88,纾困预算拚明三读　柯建铭引国歌8字并喊话：不要横生枝节
89,喊「国产疫苗比照国际做三期试验」江启臣：愿做三期试验者
90,被质疑打特权疫苗！连战办公室回应周玉蔻：不要捕风捉影
91,国台办称愿助台人赴中打疫苗　陆委会打脸：对台两面手法
92,纾困4.0协商共识　促政府提供染疫死亡者10万丧葬费
93,打疫苗乱！赵士强狂飙骂「蟑螂唬烂」　留言暗指不满柯文哲
94,陈时中揭新北紫爆主因！侯友宜公布：抓到960隐藏确诊者
95,好心肝名单曝光为哪桩？颜择雅：柯文哲团队为转移焦点
96,蒋万安建议免除夏季用电计算　苏贞昌：相关部会做滚动检讨
97,要医护疫苗「不打缴回」许淑华反击揭真相：柯文哲误会了
98,快讯／周玉蔻：柯文哲父母已排定打疫苗、你们不惭愧吗？
99,朱学恒指日议员说只需百万剂疫苗　旅日台侨：造孽会遭天谴
100,塞爆了！新北车流量暴增16％　侯友宜曝数据：拜讬宅在家
101,快讯／代购1千万剂疫苗！蔡英文下午4时见郭台铭、刘德音
102,快讯／该为「3+11」下台？陈时中反呛：不是立委说了算
103,疫苗施打顺序谁说的算？陈时中撂重话：地方违规将减配疫苗
104,「国产疫苗」采购价曝光！　陈时中：单价比750元高一点
105,提案删纾困金？叶毓兰认了「没先谘询艺文团体」　宣布撤案
106,陈培哲辞退疫苗审查委员　传「与总统有关」府方回应：遗憾
107,台北市疫苗「预约制」混乱　她1图曝各县市措施：拜讬跟上
108,防印度病毒入侵　卫福部：已购抗体药物、HFNC全配系统
109,快讯／北市清零计画怎启动？柯文哲：总是要做一些事情
110,染疫死亡「每人国赔280万」？侯友宜：政府多做一点关怀
111,北市疫苗施打「荒腔走板」　台湾基进：柯文哲政治跌停开端
112,国产疫苗买贵了？陈时中槓上高虹安：若不这样一剂都买不到
113,曝解除3级警戒条件！　柯文哲：每日确诊数降到10例以下
114,确诊新冠肺炎！爱国同心会长周庆峻病逝　享寿77岁
115,北市基层医护控疫苗造册无用　柯文哲：真的没有疫苗啊
116,先别太开心！苏贞昌：疫情虽缓波下降　但仍没有松懈的本钱
117,3+11谁定？苏揆「决策出来马上通知」：不是做会议记录
118,快讯／台积电、鸿海出手抢疫苗　苏贞昌特派「他」助攻法律
119,快讯／柯文哲曝：北市要进行以确诊者为中心的热点消灭战
120,日韩抢购三期疫苗！杜紫宸曝「台湾国产优先」：政策错误
121,美中角力！布林肯通话杨洁篪「停止对台施压」外交部回应了
