,0
0,快讯／热区当心！新北确诊5175人　一图看各行政区分布
1,AZ疫苗开打　苏揆：双北加发10%
2,纾困更到位！绿委吁公部门减租缓缴、带动民间响应跟进
3,孩童家庭防疫补贴　苏贞昌：24小时内已25.8万人入帐
4,郭台铭盼晋见　总统府：蔡英文始终乐意、后续会安排
5,快讯／日本外相证实拟对台追加疫苗　外交部：期盼顺利抵台
6,疫苗新进度曝光！　陈时中：已电讯BNT、准备跟娇生开会
7,影／蔡英文与贡寮阿嬷视讯！相约「明年一起包粽」
8,谢谢你的保护！赖清德感谢警察协助防疫：最让人安心身影
9,1.5万长辈接种中！潘孟安：一定以「屏东模式」贴心服务
10,1个月缩短成2周！三军九校入伍训练延后　改采2阶段实施
11,谢谢日本捐疫苗！130企业合力「全版登报」　7千人讚翻
12,不只关系两岸！G7首提「台海稳定」蔡英文：全球关注焦点
13,疫苗系统改版！一度2万人上线　北市卫生局：状况也好多了
14,竹市率全国之先打疫苗　6000名八旬长者受惠
15,台日友好！日制负压隔离舱18:05终抵台　首批共10座
16,快讯／全台最多！新北确诊5999人　一张图看各区分布
17,揽才专法三读修正　松绑申请永久居留限制
18,警察节挺警察！徐国勇请民众配合防疫措施　减轻警察负担
19,苏贞昌教学！1万元孩童补助今线上申请　18日ATM可领
20,快讯／15日开打！新北疫苗施打计画出炉　首波8万人优先
21,全文／TIFA会谈重启！蔡英文揭幕后：让国家更有力量
22,久等了！蔡英文揭「疫苗吃紧主因」：7月开放一般民众施打
23,快讯／长辈疫苗今开打　蔡英文16：30发表谈话
24,新北景点全封！侯友宜吁宅在家：开放84小时路边停车免费
25,日拟追赠台湾疫苗　驻日代表谢长廷：全力争取早日实现
26,快讯／高端解盲成功！总统蔡英文16:00发表疫情谈话
